customerinstallationid,hostname
13680,isf-uat-wa02.m1ams1.jivehosted.com
6225,pncbank-vm-db.m2phx1.jivehosted.com
6225,pncbank-vm-cs01.m2phx1.jivehosted.com
6225,pncbank-vm-wa01.m2phx1.jivehosted.com
13761,arm-holdings-eaedb.m1ams1.jivehosted.com
6225,pncbank-vm-wa02.m2phx1.jivehosted.com
7528,strongmail-emp-wa02.m2phx1.jivehosted.com
10355,ariba-inc-wa02.m2phx1.jivehosted.com
17161,thunder21269.m1phx1.jivehosted.com
17246,thecollegeboardspringboard-uat-eae01.m2phx1.jivehosted.com
4187,npslf-wa01.m1phx1.jivehosted.com
4187,npslf-wa02.m1phx1.jivehosted.com
7843,cannon-design-wa01.m2phx1.jivehosted.com
4567,hp-discover-uat-db.m1phx1.jivehosted.com
4567,hp-discover-uat-eaedb.m1phx1.jivehosted.com
4567,hp-discover-uat-cs01.m1phx1.jivehosted.com
4567,hp-discover-uat-eae01.m1phx1.jivehosted.com
4567,hp-discover-uat-wa01.m1phx1.jivehosted.com
9570,jiveapps-developer-db.m2phx1.jivehosted.com
9570,jiveapps-developer-eaedb.m2phx1.jivehosted.com
9570,jiveapps-developer-cs01.m2phx1.jivehosted.com
5304,freescale-phx-db.m1phx1.jivehosted.com
5562,cbaustralia-uat-db.m1phx1.jivehosted.com
5871,sapient-corp-phx-uat-cs01.m1phx1.jivehosted.com
4088,fidelity-virt-uat-db.m1phx1.jivehosted.com
4088,fidelity-virt-uat-cs01.m1phx1.jivehosted.com
3138,thunder613.m1phx1.jivehosted.com
16996,thunder21076.m1phx1.jivehosted.com
12549,thunder14356.m1phx1.jivehosted.com
10357,webtrends-5-prod-db.m2phx1.jivehosted.com
13677,axa-db.m1ams1.jivehosted.com
10357,webtrends-5-prod-eaedb.m2phx1.jivehosted.com
7842,thomsonreuters-ls-wa01.m1phx1.jivehosted.com
4188,npslf-uat-db.m1phx1.jivehosted.com
4188,npslf-uat-eaedb.m1phx1.jivehosted.com
3088,bandwidth-phx-db.m1phx1.jivehosted.com
3088,bandwidth-phx-eaedb.m1phx1.jivehosted.com
3088,bandwidth-phx-cs01.m1phx1.jivehosted.com
3088,bandwidth-phx-eae01.m1phx1.jivehosted.com
3088,bandwidth-phx-wa01.m1phx1.jivehosted.com
7523,exelon-wa01.m2phx1.jivehosted.com
4115,thunder1472.m1phx1.jivehosted.com
4107,thunder1629.m1phx1.jivehosted.com
7867,thunder5274.m1phx1.jivehosted.com
10357,webtrends-5-prod-cs01.m2phx1.jivehosted.com
8299,thunder7080.m1phx1.jivehosted.com
17166,thunder21270.m1phx1.jivehosted.com
4567,hp-discover-uat-wa02.m1phx1.jivehosted.com
4845,sungard-usergroup-uat-db.m1phx1.jivehosted.com
4845,sungard-usergroup-uat-cs01.m1phx1.jivehosted.com
4845,sungard-usergroup-uat-wa01.m1phx1.jivehosted.com
4845,sungard-usergroup-uat-wa02.m1phx1.jivehosted.com
5305,freescale-phx-uat-db.m1phx1.jivehosted.com
5562,cbaustralia-uat-cs01.m1phx1.jivehosted.com
5959,thunder3685.m1phx1.jivehosted.com
6119,thunder3778.m1phx1.jivehosted.com
4088,fidelity-virt-uat-wa01.m1phx1.jivehosted.com
3012,recyclebankemp-db.m1phx1.jivehosted.com
3012,recyclebankemp-eaedb.m1phx1.jivehosted.com
3012,recyclebankemp-cs01.m1phx1.jivehosted.com
3012,recyclebankemp-eae01.m1phx1.jivehosted.com
3012,recyclebankemp-wa01.m1phx1.jivehosted.com
3012,recyclebankemp-wa02.m1phx1.jivehosted.com
4088,fidelity-virt-uat-wa02.m1phx1.jivehosted.com
7029,analog-vm-uat-eae01.m2phx1.jivehosted.com
3088,bandwidth-phx-wa02.m1phx1.jivehosted.com
4112,thunder1630.m1phx1.jivehosted.com
7523,exelon-wa02.m2phx1.jivehosted.com
3174,christscientists-ext-prod-db.m1phx1.jivehosted.com
3174,christscientists-ext-prod-cs01.m1phx1.jivehosted.com
4188,npslf-uat-cs01.m1phx1.jivehosted.com
4188,npslf-uat-eae01.m1phx1.jivehosted.com
7843,cannon-design-wa02.m2phx1.jivehosted.com
4572,or-kiat-jc-t01.m1phx1.jivehosted.com
16811,acegroup-int-eaedb.m2phx1.jivehosted.com
16811,acegroup-int-cs01.m2phx1.jivehosted.com
16811,acegroup-int-eae01.m2phx1.jivehosted.com
16811,acegroup-int-db.m2phx1.jivehosted.com
17172,thunder21271.m1phx1.jivehosted.com
5305,freescale-phx-uat-wa02.m1phx1.jivehosted.com
5305,freescale-phx-uat-eaedb.m1phx1.jivehosted.com
5305,freescale-phx-uat-cs01.m1phx1.jivehosted.com
5305,freescale-phx-uat-eae01.m1phx1.jivehosted.com
5305,freescale-phx-uat-wa01.m1phx1.jivehosted.com
5562,cbaustralia-uat-wa01.m1phx1.jivehosted.com
3089,bandwidth-phx-uat-db.m1phx1.jivehosted.com
3089,bandwidth-phx-uat-eaedb.m1phx1.jivehosted.com
3089,bandwidth-phx-uat-cs01.m1phx1.jivehosted.com
3089,bandwidth-phx-uat-eae01.m1phx1.jivehosted.com
3089,bandwidth-phx-uat-wa01.m1phx1.jivehosted.com
3089,bandwidth-phx-uat-wa02.m1phx1.jivehosted.com
13595,screwfix-wa01.m1ams1.jivehosted.com
13595,screwfix-wa02.m1ams1.jivehosted.com
13678,axa-uat-db.m1ams1.jivehosted.com
4125,thunder1474.m1phx1.jivehosted.com
4117,thunder1631.m1phx1.jivehosted.com
16811,acegroup-int-wa02.m2phx1.jivehosted.com
3174,christscientists-ext-prod-wa01.m1phx1.jivehosted.com
3174,christscientists-ext-prod-wa02.m1phx1.jivehosted.com
17000,thunder21078.m1phx1.jivehosted.com
16811,acegroup-int-wa01.m2phx1.jivehosted.com
5956,thunder3687.m1phx1.jivehosted.com
4188,npslf-uat-wa01.m1phx1.jivehosted.com
4188,npslf-uat-wa02.m1phx1.jivehosted.com
5412,thunder2914.m1phx1.jivehosted.com
16064,groupm-mediacom-db.m1ams1.jivehosted.com
5304,freescale-phx-wa01.m1phx1.jivehosted.com
5565,centercio-vm-db.m1phx1.jivehosted.com
5565,centercio-vm-cs01.m1phx1.jivehosted.com
6204,thunder3853.m1phx1.jivehosted.com
6210,thunder3855.m1phx1.jivehosted.com
10357,webtrends-5-prod-eae01.m2phx1.jivehosted.com
13595,screwfix-db.m1ams1.jivehosted.com
3165,thunder682.m1phx1.jivehosted.com
13679,isf-db.m1ams1.jivehosted.com
7368,zeltiq-db.m2phx1.jivehosted.com
13761,arm-holdings-wa01.m1ams1.jivehosted.com
6167,cch-db.m2phx1.jivehosted.com
6167,cch-eaedb.m2phx1.jivehosted.com
13761,arm-holdings-wa02.m1ams1.jivehosted.com
4120,thunder1473.m1phx1.jivehosted.com
4056,thunder1529.m1phx1.jivehosted.com
4106,thunder1581.m1phx1.jivehosted.com
4122,thunder1632.m1phx1.jivehosted.com
9570,jiveapps-developer-eae01.m2phx1.jivehosted.com
9570,jiveapps-developer-wa01.m2phx1.jivehosted.com
9570,jiveapps-developer-wa02.m2phx1.jivehosted.com
5269,thunder2864.m1phx1.jivehosted.com
5770,thunder3310.m1phx1.jivehosted.com
5565,centercio-vm-wa01.m1phx1.jivehosted.com
5565,centercio-vm-wa02.m1phx1.jivehosted.com
5787,amgen-uat-db.m1phx1.jivehosted.com
5787,amgen-uat-cs01.m1phx1.jivehosted.com
5787,amgen-uat-wa01.m1phx1.jivehosted.com
5995,thunder3721.m1phx1.jivehosted.com
17175,thunder21273.m1phx1.jivehosted.com
